METAREA,COUNTY,AGE,COVIDUNAW,month_le,gender_Female,gender_Male,education_Bachelor's,education_Graduate or Professional Degree,education_High School or below,education_Some College or Associate Degree,race_Asian,race_Black,race_Native American,race_White,hispanic_Hispanic,hispanic_Non-Hispanic,marital_status_Divorced,marital_status_Married,marital_status_Single
6642,0,47,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
6642,0,19,1,5,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
1521,0,37,1,5,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
1521,0,43,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
1521,37119,27,1,5,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
1521,37119,27,1,5,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
1521,0,57,1,5,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
1521,0,59,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
6641,0,50,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
6641,0,52,1,5,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
6641,0,18,2,5,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
1521,37119,43,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
9999,0,51,1,5,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
9999,0,52,2,5,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
9999,0,22,1,5,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1
1521,0,50,2,5,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0
3121,37057,41,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
6642,0,55,1,5,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
6642,0,61,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
6642,0,35,1,5,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
6642,0,30,1,5,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
1521,37119,26,1,5,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1
1521,37119,46,1,5,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0
1521,37119,53,1,5,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0
1521,37119,22,1,5,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1
1521,37119,39,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
1521,0,33,1,5,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
1521,0,36,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
1521,0,66,2,5,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
1521,0,62,2,5,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
1521,0,54,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
6642,0,40,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
6642,0,28,1,5,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
3122,0,26,1,5,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
3121,37067,27,1,5,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
3121,37067,32,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
3121,37067,52,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
6641,0,37,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
3121,37057,32,1,5,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
3121,37057,24,1,5,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
6642,0,38,1,5,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
3121,37057,40,1,5,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0
3121,37057,20,2,5,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
3122,0,80,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
3122,0,80,1,5,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
1521,37119,38,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
1521,37119,20,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
6642,0,69,1,5,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0
6642,0,64,1,5,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
